"","mc_size","num_ones","generation","frac_of_pop"
"1",32,0,0,0
"2",32,1,0,0
"3",32,2,0,0
"4",32,3,0,0
"5",32,4,0,0
"6",32,5,0,0
"7",32,6,0,0
"8",32,7,0,0
"9",32,8,0,0
"10",32,9,0,0
"11",32,10,0,0
"12",32,11,0,0
"13",32,12,0,0
"14",32,13,0,0
"15",32,14,0,0
"16",32,15,0,0
"17",32,16,0,0
"18",32,17,0,0
"19",32,18,0,0
"20",32,19,0,0
"21",32,20,0,0
"22",32,21,0,0
"23",32,22,0,0
"24",32,23,0,0
"25",32,24,0,0
"26",32,25,0,0
"27",32,26,0,0
"28",32,27,0,0
"29",32,28,0,0
"30",32,29,0,0
"31",32,30,0,0
"32",32,31,0,0
"33",32,32,0,0
"34",32,33,0,0
"35",32,34,0,0
"36",32,35,0,0
"37",32,36,0,0
"38",32,37,0,0
"39",32,38,0,0
"40",32,39,0,0
"41",32,40,0,0
"42",32,41,0,0
"43",32,42,0,0
"44",32,43,0,0
"45",32,44,0,0
"46",32,45,0,0
"47",32,46,0,0
"48",32,47,0,0
"49",32,48,0,0
"50",32,49,0,0
"51",32,50,0,0
"52",32,51,0,0
"53",32,52,0,0
"54",32,53,0,0
"55",32,54,0,0
"56",32,55,0,0
"57",32,56,0,0
"58",32,57,0,0
"59",32,58,0,0
"60",32,59,0,0
"61",32,60,0,1
"62",32,61,0,0
"63",32,62,0,0
"64",32,63,0,0
"65",32,64,0,0
"66",32,65,0,0
"67",32,66,0,0
"68",32,67,0,0
"69",32,68,0,0
"70",32,69,0,0
"71",32,70,0,0
"72",32,71,0,0
"73",32,72,0,0
"74",32,73,0,0
"75",32,74,0,0
"76",32,75,0,0
"77",32,76,0,0
"78",32,77,0,0
"79",32,78,0,0
"80",32,79,0,0
"81",32,80,0,0
"82",32,81,0,0
"83",32,82,0,0
"84",32,83,0,0
"85",32,84,0,0
"86",32,85,0,0
"87",32,86,0,0
"88",32,87,0,0
"89",32,88,0,0
"90",32,89,0,0
"91",32,90,0,0
"92",32,91,0,0
"93",32,92,0,0
"94",32,93,0,0
"95",32,94,0,0
"96",32,95,0,0
"97",32,96,0,0
"98",32,97,0,0
"99",32,98,0,0
"100",32,99,0,0
"101",32,100,0,0
"102",32,0,500,4.9754691103301e-87
"103",32,1,500,5.54170039591163e-85
"104",32,2,500,1.84763917044803e-82
"105",32,3,500,4.04099806022921e-80
"106",32,4,500,6.48153861296898e-78
"107",32,5,500,8.10299372424644e-76
"108",32,6,500,8.37365112669875e-74
"109",32,7,500,7.22911703163452e-72
"110",32,8,500,5.37844950675687e-70
"111",32,9,500,3.49541395968537e-68
